Version,N,Threads,Time
SEQ,100000,1,0.000016
SEQ,100000,1,0.000011
SEQ,100000,1,0.000019
SEQ,100000,1,0.000013
SEQ,100000,1,0.000016
SEQ,500000,1,0.000100
SEQ,500000,1,0.000055
SEQ,500000,1,0.000139
SEQ,500000,1,0.000148
SEQ,500000,1,0.000151
SEQ,1000000,1,0.000232
SEQ,1000000,1,0.000344
SEQ,1000000,1,0.000296
SEQ,1000000,1,0.000273
SEQ,1000000,1,0.000373
OMP_SIMD,100000,1,2.4515e-05
OMP_PAR_SIMD,100000,1,2.0883e-05
OMP_SIMD,100000,1,1.5366e-05
OMP_PAR_SIMD,100000,1,1.5156e-05
OMP_SIMD,100000,1,1.8858e-05
OMP_PAR_SIMD,100000,1,1.774e-05
OMP_SIMD,100000,1,1.8579e-05
OMP_PAR_SIMD,100000,1,1.6344e-05
OMP_SIMD,100000,1,1.327e-05
OMP_PAR_SIMD,100000,1,1.4318e-05
OMP_SIMD,100000,1,2.0883e-05
OMP_PAR_SIMD,100000,2,0.000114475
OMP_SIMD,100000,1,1.3271e-05
OMP_PAR_SIMD,100000,2,6.6701e-05
OMP_SIMD,100000,1,1.1804e-05
OMP_PAR_SIMD,100000,2,6.6003e-05
OMP_SIMD,100000,1,1.4108e-05
OMP_PAR_SIMD,100000,2,6.1323e-05
OMP_SIMD,100000,1,1.5855e-05
OMP_PAR_SIMD,100000,2,7.3825e-05
OMP_SIMD,100000,1,1.8439e-05
OMP_PAR_SIMD,100000,4,0.000130818
OMP_SIMD,100000,1,1.3829e-05
OMP_PAR_SIMD,100000,4,0.000124113
OMP_SIMD,100000,1,9.987e-06
OMP_PAR_SIMD,100000,4,0.000113986
OMP_SIMD,100000,1,9.639e-06
OMP_PAR_SIMD,100000,4,0.000101134
OMP_SIMD,100000,1,1.2432e-05
OMP_PAR_SIMD,100000,4,8.6886e-05
OMP_SIMD,100000,1,8.94e-06
OMP_PAR_SIMD,100000,8,0.000182363
OMP_SIMD,100000,1,1.1873e-05
OMP_PAR_SIMD,100000,8,0.000182363
OMP_SIMD,100000,1,1.1524e-05
OMP_PAR_SIMD,100000,8,0.000165251
OMP_SIMD,100000,1,1.4039e-05
OMP_PAR_SIMD,100000,8,0.000173004
OMP_SIMD,100000,1,1.0057e-05
OMP_PAR_SIMD,100000,8,0.000168953
OMP_SIMD,100000,1,1.4528e-05
OMP_PAR_SIMD,100000,16,0.000370244
OMP_SIMD,100000,1,1.4807e-05
OMP_PAR_SIMD,100000,16,0.00866661
OMP_SIMD,100000,1,1.2782e-05
OMP_PAR_SIMD,100000,16,0.000385051
OMP_SIMD,100000,1,1.2363e-05
OMP_PAR_SIMD,100000,16,0.000387634
OMP_SIMD,100000,1,9.918e-06
OMP_PAR_SIMD,100000,16,0.00036312
OMP_SIMD,500000,1,0.000114544
OMP_PAR_SIMD,500000,1,7.4454e-05
OMP_SIMD,500000,1,0.000118176
OMP_PAR_SIMD,500000,1,7.7457e-05
OMP_SIMD,500000,1,0.000117827
OMP_PAR_SIMD,500000,1,8.4861e-05
OMP_SIMD,500000,1,9.4918e-05
OMP_PAR_SIMD,500000,1,7.159e-05
OMP_SIMD,500000,1,0.000138012
OMP_PAR_SIMD,500000,1,0.000124393
OMP_SIMD,500000,1,0.000131726
OMP_PAR_SIMD,500000,2,0.000176077
OMP_SIMD,500000,1,0.000102532
OMP_PAR_SIMD,500000,2,0.000142832
OMP_SIMD,500000,1,0.000114335
OMP_PAR_SIMD,500000,2,0.000119853
OMP_SIMD,500000,1,0.000110214
OMP_PAR_SIMD,500000,2,0.000126907
OMP_SIMD,500000,1,0.000101204
OMP_PAR_SIMD,500000,2,0.000123484
OMP_SIMD,500000,1,0.00015205
OMP_PAR_SIMD,500000,4,0.00022427
OMP_SIMD,500000,1,7.5222e-05
OMP_PAR_SIMD,500000,4,0.000165181
OMP_SIMD,500000,1,5.9158e-05
OMP_PAR_SIMD,500000,4,0.000148908
OMP_SIMD,500000,1,0.000110074
OMP_PAR_SIMD,500000,4,0.000169791
OMP_SIMD,500000,1,0.00010288
OMP_PAR_SIMD,500000,4,0.000150863
OMP_SIMD,500000,1,0.000110423
OMP_PAR_SIMD,500000,8,0.000220358
OMP_SIMD,500000,1,8.1927e-05
OMP_PAR_SIMD,500000,8,0.000248086
OMP_SIMD,500000,1,6.733e-05
OMP_PAR_SIMD,500000,8,0.000235585
OMP_SIMD,500000,1,0.000126907
OMP_PAR_SIMD,500000,8,0.000261147
OMP_SIMD,500000,1,0.000115312
